Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Seating_Capacity,Type,Power.1,Torque.1
Fiat,Linea Classic,Plus 1.3 Multijet,"₹ 808,558.000000000000000",1248,4,45,Diesel,1487,4560,1730,Sedan,5,Manual,76,197
Nissan,Terrano,Sport Edition,"₹ 1,235,700.000000000000000",1461,4,50,Diesel,1671,4331,1822,SUV,5,Manual,85,200
Nissan,Terrano,Xl D(O),"₹ 1,235,700.000000000000000",1461,4,50,Diesel,1671,4331,1822,SUV,5,Manual,85,200
Nissan,Terrano,Xv D Premium 110 Ps,"₹ 1,419,900.000000000000000",1461,4,50,Diesel,1671,4331,1822,SUV,5,Manual,110,248
Hyundai,Elantra,Sx At,"₹ 1,949,000.000000000000000",1999,4,50,Petrol,1465,4620,1800,Sedan,5,AMT,152,196
Hyundai,Elantra,Sx(O) At,"₹ 2,039,000.000000000000000",1999,4,50,Petrol,1465,4620,1800,Sedan,5,AMT,152,196
Hyundai,Elantra,Sx,"₹ 1,849,000.000000000000000",1999,4,50,Petrol,1465,4620,1800,Sedan,5,Manual,152,196
Hyundai,Elantra,S,"₹ 1,589,000.000000000000000",1999,4,50,Petrol,1465,4620,1800,Sedan,5,Manual,152,196
Hyundai,Tucson,2Wd At Gl Petrol,"₹ 2,187,384.000000000000000",1999,4,62,Petrol,1660,4475,1850,SUV,5,Automatic,155,192
Hyundai,Tucson,2Wd At Gl Diesel,"₹ 2,364,354.000000000000000",1995,4,62,Diesel,1660,4475,1850,SUV,5,Automatic,185,400
Hyundai,Tucson,2Wd Mt Petrol,"₹ 1,876,656.000000000000000",1999,4,62,Petrol,1660,4475,1850,SUV,5,Manual,155,192
Hyundai,Tucson,2Wd Mt Diesel,"₹ 2,079,717.000000000000000",1995,4,62,Diesel,1660,4475,1850,SUV,5,Manual,185,400
Hyundai,Tucson,2Wd At Gl(O) Petrol,"₹ 2,246,749.000000000000000",1999,4,62,Petrol,1660,4475,1850,SUV,5,Automatic,155,192
Hyundai,Tucson,2Wd At Gls Petrol,"₹ 2,373,522.000000000000000",1999,4,62,Petrol,1660,4475,1850,SUV,5,Automatic,155,192
Hyundai,Tucson,4Wd At Gls Diesel,"₹ 2,697,417.000000000000000",1995,4,62,Diesel,1660,4475,1850,SUV,5,Automatic,185,400
Mercedes-Benz,Mercedes-Benz A-Class,200D,"₹ 2,886,871.000000000000000",2143,4,50,Diesel,1433,4292,2022,Hatchback,5,Automatic,136,300
